,,,,,,,Difference X Days Later
,,,,,,,1 days,2 days,3 days,4 days,5 days,6 days,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days
Rank, Start Date, End Date, Start Value, End Value, Difference in $, ,
,,,,,Difference in %,
1,10/26/2017,11/1/2017,"157.23","169.87","$12.64",,"($3.27)","$4.13",,,"$2.50","$4.04","$4.79","$5.24","$5.24",,,"$3.63","$3.17","$0.10","$1.31","$1.17",,,"$0.42","$0.91"
,10/26/2017,11/1/2017,"","","8.0%",,"-2.0%","2.0%",,,"1.0%","2.0%","3.0%","3.0%","3.0%",,,"2.0%","2.0%","0.0%","1.0%","1.0%",,,"0.0%","1.0%"

2,1/31/2017,2/6/2017,"121.15","129.13","$7.98",,"$1.41","$2.22","$2.52","$3.33",,,"$3.95","$4.34","$6.39","$6.54","$5.97",,,,"$7.10","$7.30","$8.25","$6.78"
,1/31/2017,2/6/2017,"","","7.0%",,"1.0%","2.0%","2.0%","3.0%",,,"3.0%","3.0%","5.0%","5.0%","5.0%",,,,"5.0%","6.0%","6.0%","5.0%"

3,10/25/2017,10/31/2017,"156.91","167.9","$10.99",,"$1.97","($1.30)","$6.10",,,"$4.47","$6.01","$6.76","$7.21","$7.21",,,"$5.60","$5.14","$2.07","$3.28","$3.14",,,"$2.39"
,10/25/2017,10/31/2017,"","","7.0%",,"1.0%","-1.0%","4.0%",,,"3.0%","4.0%","4.0%","4.0%","4.0%",,,"3.0%","3.0%","1.0%","2.0%","2.0%",,,"1.0%"

4,1/30/2017,2/3/2017,"120.93","128.31","$7.38",,,,"$0.82","$2.23","$3.04","$3.34","$4.15",,,"$4.77","$5.16","$7.21","$7.36","$6.79",,,,"$7.92","$8.12","$9.07"
,1/30/2017,2/3/2017,"","","6.0%",,,,"1.0%","2.0%","2.0%","3.0%","3.0%",,,"4.0%","4.0%","6.0%","6.0%","5.0%",,,,"6.0%","6.0%","7.0%"

5,5/3/2017,5/9/2017,"145.59","153.87","$8.28",,"($0.24)","($1.42)","$0.83",,,"$2.14","$2.07","($0.27)","($2.60)","($0.49)",,,"$0.13","$1.03","($0.03)","($0.14)","$0.13"
,5/3/2017,5/9/2017,"","","6.0%",,"0.0%","-1.0%","1.0%",,,"1.0%","1.0%","0.0%","-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%"

6,10/30/2017,11/3/2017,"163.89","174","$10.11",,,,"($1.63)","($0.09)","$0.66","$1.11","$1.11",,,"($0.50)","($0.96)","($4.03)","($2.82)","($2.96)",,,"($3.71)","($3.22)","($0.64)"
,10/30/2017,11/3/2017,"","","6.0%",,,,"-1.0%","0.0%","0.0%","1.0%","1.0%",,,"0.0%","-1.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%","-2.0%","0.0%"

7,1/27/2017,2/2/2017,"122.14","127.98","$5.84",,"$0.33",,,"$1.15","$2.56","$3.37","$3.67","$4.48",,,"$5.10","$5.49","$7.54","$7.69","$7.12",,,,"$8.25","$8.45"
,1/27/2017,2/2/2017,"","","5.0%",,"0.0%",,,"1.0%","2.0%","3.0%","3.0%","4.0%",,,"4.0%","4.0%","6.0%","6.0%","6.0%",,,,"6.0%","7.0%"

8,5/4/2017,5/10/2017,"146.52","153.63","$7.11",,"($1.18)","$1.07",,,"$2.38","$2.31","($0.03)","($2.36)","($0.25)",,,"$0.37","$1.27","$0.21","$0.10","$0.37",,,,"($0.21)"
,5/4/2017,5/10/2017,"","","5.0%",,"-1.0%","1.0%",,,"2.0%","2.0%","0.0%","-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%",,,,"0.0%"

9,7/28/2017,8/3/2017,"149.89","157.05","$7.16",,"($0.98)",,,"$0.01","$1.55","$2.21","$2.85","($0.45)",,,"$2.27","$3.61","$4.89","$3.47","$0.81",,,"$0.45","$1.18","$2.02"
,7/28/2017,8/3/2017,"","","5.0%",,"-1.0%",,,"0.0%","1.0%","1.0%","2.0%","0.0%",,,"1.0%","2.0%","3.0%","2.0%","1.0%",,,"0.0%","1.0%","1.0%"

10,8/1/2017,8/7/2017,"149.1","157.06","$7.96",,"$1.54","$2.20","$2.84","($0.46)",,,"$2.26","$3.60","$4.88","$3.46","$0.80",,,"$0.44","$1.17","$2.01","$3.37","$2.59"
,8/1/2017,8/7/2017,"","","5.0%",,"1.0%","1.0%","2.0%","0.0%",,,"1.0%","2.0%","3.0%","2.0%","1.0%",,,"0.0%","1.0%","1.0%","2.0%","2.0%"

11,10/24/2017,10/30/2017,"156.29","163.89","$7.60",,"$4.01","$5.98","$2.71","$10.11",,,"$8.48","$10.02","$10.77","$11.22","$11.22",,,"$9.61","$9.15","$6.08","$7.29","$7.15"
,10/24/2017,10/30/2017,"","","5.0%",,"2.0%","4.0%","2.0%","6.0%",,,"5.0%","6.0%","7.0%","7.0%","7.0%",,,"6.0%","6.0%","4.0%","4.0%","4.0%"

12,10/27/2017,11/2/2017,"159.29","166.6","$7.31",,"$7.40",,,"$5.77","$7.31","$8.06","$8.51","$8.51",,,"$6.90","$6.44","$3.37","$4.58","$4.44",,,"$3.69","$4.18","$6.76"
,10/27/2017,11/2/2017,"","","5.0%",,"4.0%",,,"3.0%","4.0%","5.0%","5.0%","5.0%",,,"4.0%","4.0%","2.0%","3.0%","3.0%",,,"2.0%","3.0%","4.0%"

13,11/2/2017,11/8/2017,"166.6","174.66","$8.06",,"$0.45","$0.45",,,"($1.16)","($1.62)","($4.69)","($3.48)","($3.62)",,,"($4.37)","($3.88)","($1.30)",,"$0.44",,,"$0.39","($0.36)"
,11/2/2017,11/8/2017,"","","5.0%",,"0.0%","0.0%",,,"-1.0%","-1.0%","-3.0%","-2.0%","-2.0%",,,"-3.0%","-2.0%","-1.0%",,"0.0%",,,"0.0%","0.0%"

14,1/26/2017,2/1/2017,"121.67","127.03","$5.36",,"$0.95","$1.28",,,"$2.10","$3.51","$4.32","$4.62","$5.43",,,"$6.05","$6.44","$8.49","$8.64","$8.07",,,,"$9.20"
,1/26/2017,2/1/2017,"","","4.0%",,"1.0%","1.0%",,,"2.0%","3.0%","3.0%","4.0%","4.0%",,,"5.0%","5.0%","7.0%","7.0%","6.0%",,,,"7.0%"

15,5/5/2017,5/11/2017,"146.76","152.45","$5.69",,"$2.25",,,"$3.56","$3.49","$1.15","($1.18)","$0.93",,,"$1.55","$2.45","$1.39","$1.28","$1.55",,,,"$0.97","$1.52"
,5/5/2017,5/11/2017,"","","4.0%",,"1.0%",,,"2.0%","2.0%","1.0%","-1.0%","1.0%",,,"1.0%","2.0%","1.0%","1.0%","1.0%",,,,"1.0%","1.0%"

16,5/8/2017,5/12/2017,"149.03","154.7","$5.67",,,,"$1.31","$1.24","($1.10)","($3.43)","($1.32)",,,"($0.70)","$0.20","($0.86)","($0.97)","($0.70)",,,,"($1.28)","($0.73)","($1.53)"
,5/8/2017,5/12/2017,"","","4.0%",,,,"1.0%","1.0%","-1.0%","-2.0%","-1.0%",,,"0.0%","0.0%","-1.0%","-1.0%","0.0%",,,,"-1.0%","0.0%","-1.0%"

17,7/27/2017,8/2/2017,"153.75","159.28","$5.53",,"($2.23)","($3.21)",,,"($2.22)","($0.68)","($0.02)","$0.62","($2.68)",,,"$0.04","$1.38","$2.66","$1.24","($1.42)",,,"($1.78)","($1.05)"
,7/27/2017,8/2/2017,"","","4.0%",,"-1.0%","-2.0%",,,"-1.0%","0.0%","0.0%","0.0%","-2.0%",,,"0.0%","1.0%","2.0%","1.0%","-1.0%",,,"-1.0%","-1.0%"

18,7/31/2017,8/4/2017,"149.9","156.07","$6.17",,,,"$0.99","$2.53","$3.19","$3.83","$0.53",,,"$3.25","$4.59","$5.87","$4.45","$1.79",,,"$1.43","$2.16","$3.00","$4.36"
,7/31/2017,8/4/2017,"","","4.0%",,,,"1.0%","2.0%","2.0%","2.0%","0.0%",,,"2.0%","3.0%","4.0%","3.0%","1.0%",,,"1.0%","1.0%","2.0%","3.0%"

19,1/4/2017,1/10/2017,"115.85","118.77","$2.92",,"($0.03)","$0.13","$0.34",,,,"($0.43)","$1.23","$0.63","$1.68",,,"$1.23","$0.78","$1.65","$2.90","$3.37",,,"$2.16"
,1/4/2017,1/10/2017,"","","3.0%",,"0.0%","0.0%","0.0%",,,,"0.0%","1.0%","1.0%","1.0%",,,"1.0%","1.0%","1.0%","2.0%","3.0%",,,"2.0%"

