,,,,,,,Difference X Days Later
,,,,,,,1 days,2 days,3 days,4 days,5 days,6 days,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days
Rank, Start Date, End Date, Start Value, End Value, Difference in $, ,
,,,,,Difference in %,
1,10/25/2017,11/3/2017,"156.91","174","$17.09",,,,"($1.63)","($0.09)","$0.66","$1.11","$1.11",,,"($0.50)","($0.96)","($4.03)","($2.82)","($2.96)",,,"($3.71)","($3.22)","($0.64)"
,10/25/2017,11/3/2017,"","","11.0%",,,,"-1.0%","0.0%","0.0%","1.0%","1.0%",,,"0.0%","-1.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%","-2.0%","0.0%"

2,10/26/2017,11/6/2017,"157.23","172.37","$15.14",,"$1.54","$2.29","$2.74","$2.74",,,"$1.13","$0.67","($2.40)","($1.19)","($1.33)",,,"($2.08)","($1.59)","$0.99",,"$2.73"
,10/26/2017,11/6/2017,"","","10.0%",,"1.0%","1.0%","2.0%","2.0%",,,"1.0%","0.0%","-1.0%","-1.0%","-1.0%",,,"-1.0%","-1.0%","1.0%",,"2.0%"

3,1/30/2017,2/8/2017,"120.93","131.35","$10.42",,"$0.30","$1.11",,,"$1.73","$2.12","$4.17","$4.32","$3.75",,,,"$4.88","$5.08","$6.03","$4.56",,,"$5.79","$5.73"
,1/30/2017,2/8/2017,"","","9.0%",,"0.0%","1.0%",,,"1.0%","2.0%","3.0%","3.0%","3.0%",,,,"4.0%","4.0%","5.0%","3.0%",,,"4.0%","4.0%"

4,1/31/2017,2/9/2017,"121.15","131.65","$10.50",,"$0.81",,,"$1.43","$1.82","$3.87","$4.02","$3.45",,,,"$4.58","$4.78","$5.73","$4.26",,,"$5.49","$5.43","$6.24"
,1/31/2017,2/9/2017,"","","9.0%",,"1.0%",,,"1.0%","1.0%","3.0%","3.0%","3.0%",,,,"3.0%","4.0%","4.0%","3.0%",,,"4.0%","4.0%","5.0%"

5,10/27/2017,11/7/2017,"159.29","173.91","$14.62",,"$0.75","$1.20","$1.20",,,"($0.41)","($0.87)","($3.94)","($2.73)","($2.87)",,,"($3.62)","($3.13)","($0.55)",,"$1.19",,,"$1.14"
,10/27/2017,11/7/2017,"","","9.0%",,"0.0%","1.0%","1.0%",,,"0.0%","-1.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%","-2.0%","0.0%",,"1.0%",,,"1.0%"

6,10/23/2017,11/1/2017,"156.89","169.87","$12.98",,"($3.27)","$4.13",,,"$2.50","$4.04","$4.79","$5.24","$5.24",,,"$3.63","$3.17","$0.10","$1.31","$1.17",,,"$0.42","$0.91"
,10/23/2017,11/1/2017,"","","8.0%",,"-2.0%","2.0%",,,"1.0%","2.0%","3.0%","3.0%","3.0%",,,"2.0%","2.0%","0.0%","1.0%","1.0%",,,"0.0%","1.0%"

7,1/24/2017,2/2/2017,"119.55","127.98","$8.43",,"$0.33",,,"$1.15","$2.56","$3.37","$3.67","$4.48",,,"$5.10","$5.49","$7.54","$7.69","$7.12",,,,"$8.25","$8.45"
,1/24/2017,2/2/2017,"","","7.0%",,"0.0%",,,"1.0%","2.0%","3.0%","3.0%","4.0%",,,"4.0%","4.0%","6.0%","6.0%","6.0%",,,,"6.0%","7.0%"

8,1/25/2017,2/3/2017,"120.42","128.31","$7.89",,,,"$0.82","$2.23","$3.04","$3.34","$4.15",,,"$4.77","$5.16","$7.21","$7.36","$6.79",,,,"$7.92","$8.12","$9.07"
,1/25/2017,2/3/2017,"","","7.0%",,,,"1.0%","2.0%","2.0%","3.0%","3.0%",,,"4.0%","4.0%","6.0%","6.0%","5.0%",,,,"6.0%","6.0%","7.0%"

9,1/27/2017,2/7/2017,"122.14","130.54","$8.40",,"$0.81","$1.11","$1.92",,,"$2.54","$2.93","$4.98","$5.13","$4.56",,,,"$5.69","$5.89","$6.84","$5.37",,,"$6.60"
,1/27/2017,2/7/2017,"","","7.0%",,"1.0%","1.0%","1.0%",,,"2.0%","2.0%","4.0%","4.0%","3.0%",,,,"4.0%","5.0%","5.0%","4.0%",,,"5.0%"

10,4/28/2017,5/9/2017,"144.09","153.87","$9.78",,"($0.24)","($1.42)","$0.83",,,"$2.14","$2.07","($0.27)","($2.60)","($0.49)",,,"$0.13","$1.03","($0.03)","($0.14)","$0.13"
,4/28/2017,5/9/2017,"","","7.0%",,"0.0%","-1.0%","1.0%",,,"1.0%","1.0%","0.0%","-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%"

11,8/1/2017,8/10/2017,"149.1","159.9","$10.80",,"($3.30)",,,"($0.58)","$0.76","$2.04","$0.62","($2.04)",,,"($2.40)","($1.67)","($0.83)","$0.53","($0.25)",,,"$0.24","$0.20","$3.90"
,8/1/2017,8/10/2017,"","","7.0%",,"-2.0%",,,"0.0%","0.0%","1.0%","0.0%","-1.0%",,,"-2.0%","-1.0%","-1.0%","0.0%","0.0%",,,"0.0%","0.0%","2.0%"

12,10/20/2017,10/31/2017,"156.61","167.9","$11.29",,"$1.97","($1.30)","$6.10",,,"$4.47","$6.01","$6.76","$7.21","$7.21",,,"$5.60","$5.14","$2.07","$3.28","$3.14",,,"$2.39"
,10/20/2017,10/31/2017,"","","7.0%",,"1.0%","-1.0%","4.0%",,,"3.0%","4.0%","4.0%","4.0%","4.0%",,,"3.0%","3.0%","1.0%","2.0%","2.0%",,,"1.0%"

13,10/24/2017,11/2/2017,"156.29","166.6","$10.31",,"$7.40",,,"$5.77","$7.31","$8.06","$8.51","$8.51",,,"$6.90","$6.44","$3.37","$4.58","$4.44",,,"$3.69","$4.18","$6.76"
,10/24/2017,11/2/2017,"","","7.0%",,"4.0%",,,"3.0%","4.0%","5.0%","5.0%","5.0%",,,"4.0%","4.0%","2.0%","3.0%","3.0%",,,"2.0%","3.0%","4.0%"

14,10/30/2017,11/8/2017,"163.89","174.66","$10.77",,"$0.45","$0.45",,,"($1.16)","($1.62)","($4.69)","($3.48)","($3.62)",,,"($4.37)","($3.88)","($1.30)",,"$0.44",,,"$0.39","($0.36)"
,10/30/2017,11/8/2017,"","","7.0%",,"0.0%","0.0%",,,"-1.0%","-1.0%","-3.0%","-2.0%","-2.0%",,,"-3.0%","-2.0%","-1.0%",,"0.0%",,,"0.0%","0.0%"

15,1/23/2017,2/1/2017,"120","127.03","$7.03",,"$0.95","$1.28",,,"$2.10","$3.51","$4.32","$4.62","$5.43",,,"$6.05","$6.44","$8.49","$8.64","$8.07",,,,"$9.20"
,1/23/2017,2/1/2017,"","","6.0%",,"1.0%","1.0%",,,"2.0%","3.0%","3.0%","4.0%","4.0%",,,"5.0%","5.0%","7.0%","7.0%","6.0%",,,,"7.0%"

16,1/26/2017,2/6/2017,"121.67","129.13","$7.46",,"$1.41","$2.22","$2.52","$3.33",,,"$3.95","$4.34","$6.39","$6.54","$5.97",,,,"$7.10","$7.30","$8.25","$6.78"
,1/26/2017,2/6/2017,"","","6.0%",,"1.0%","2.0%","2.0%","3.0%",,,"3.0%","3.0%","5.0%","5.0%","5.0%",,,,"5.0%","6.0%","6.0%","5.0%"

17,5/1/2017,5/10/2017,"145.1","153.63","$8.53",,"($1.18)","$1.07",,,"$2.38","$2.31","($0.03)","($2.36)","($0.25)",,,"$0.37","$1.27","$0.21","$0.10","$0.37",,,,"($0.21)"
,5/1/2017,5/10/2017,"","","6.0%",,"-1.0%","1.0%",,,"2.0%","2.0%","0.0%","-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%",,,,"0.0%"

18,5/3/2017,5/12/2017,"145.59","154.7","$9.11",,,,"$1.31","$1.24","($1.10)","($3.43)","($1.32)",,,"($0.70)","$0.20","($0.86)","($0.97)","($0.70)",,,,"($1.28)","($0.73)","($1.53)"
,5/3/2017,5/12/2017,"","","6.0%",,,,"1.0%","1.0%","-1.0%","-2.0%","-1.0%",,,"0.0%","0.0%","-1.0%","-1.0%","0.0%",,,,"-1.0%","0.0%","-1.0%"

19,5/4/2017,5/15/2017,"146.52","156.01","$9.49",,"($0.07)","($2.41)","($4.74)","($2.63)",,,"($2.01)","($1.11)","($2.17)","($2.28)","($2.01)",,,,"($2.59)","($2.04)","($2.84)","($2.43)"
,5/4/2017,5/15/2017,"","","6.0%",,"0.0%","-2.0%","-3.0%","-2.0%",,,"-1.0%","-1.0%","-1.0%","-1.0%","-1.0%",,,,"-2.0%","-1.0%","-2.0%","-2.0%"

