,,,,,,,Difference X Days Later
,,,,,,,1 days,2 days,3 days,4 days,5 days,6 days,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days
Rank, Start Date, End Date, Start Value, End Value, Difference in $, ,
,,,,,Difference in %,
1,6/7/2017,6/12/2017,"155.02","145.74","($9.28)",,"$1.42","$1.76","($2.42)","($1.96)",,,"($2.08)","$1.13","($0.22)","$0.03","($0.61)",,,"$1.43","($0.73)","($1.25)","($1.03)","($1.29)"
,6/7/2017,6/12/2017,"","","-6.0%",,"1.0%","1.0%","-2.0%","-1.0%",,,"-1.0%","1.0%","0.0%","0.0%","0.0%",,,"1.0%","-1.0%","-1.0%","-1.0%","-1.0%"

2,6/8/2017,6/13/2017,"155.25","147.16","($8.09)",,"$0.34","($3.84)","($3.38)",,,"($3.50)","($0.29)","($1.64)","($1.39)","($2.03)",,,"$0.01","($2.15)","($2.67)","($2.45)","($2.71)",,,"($2.28)"
,6/8/2017,6/13/2017,"","","-5.0%",,"0.0%","-3.0%","-2.0%",,,"-2.0%","0.0%","-1.0%","-1.0%","-1.0%",,,"0.0%","-1.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%"

3,6/9/2017,6/14/2017,"155.19","147.5","($7.69)",,"($4.18)","($3.72)",,,"($3.84)","($0.63)","($1.98)","($1.73)","($2.37)",,,"($0.33)","($2.49)","($3.01)","($2.79)","($3.05)",,,"($2.62)"
,6/9/2017,6/14/2017,"","","-5.0%",,"-3.0%","-3.0%",,,"-3.0%","0.0%","-1.0%","-1.0%","-2.0%",,,"0.0%","-2.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%"

4,9/19/2017,9/22/2017,"159.51","151.54","($7.97)",,,,"($1.55)","$0.24","$2.26","$2.35","$1.67",,,"$2.72","$2.47","$2.09","$2.64","$3.43",,,"$4.27","$4.52","$4.43","$4.81"
,9/19/2017,9/22/2017,"","","-5.0%",,,,"-1.0%","0.0%","1.0%","2.0%","1.0%",,,"2.0%","2.0%","1.0%","2.0%","2.0%",,,"3.0%","3.0%","3.0%","3.0%"

5,9/20/2017,9/25/2017,"157.9","149.99","($7.91)",,"$1.79","$3.81","$3.90","$3.22",,,"$4.27","$4.02","$3.64","$4.19","$4.98",,,"$5.82","$6.07","$5.98","$6.36","$6.74"
,9/20/2017,9/25/2017,"","","-5.0%",,"1.0%","3.0%","3.0%","2.0%",,,"3.0%","3.0%","2.0%","3.0%","3.0%",,,"4.0%","4.0%","4.0%","4.0%","4.0%"

6,5/15/2017,5/18/2017,"156.01","151.27","($4.74)",,"$2.11",,,"$2.73","$3.63","$2.57","$2.46","$2.73",,,,"$2.15","$2.70","$1.90","$2.31",,,"$3.07","$2.63","$3.75"
,5/15/2017,5/18/2017,"","","-3.0%",,"1.0%",,,"2.0%","2.0%","2.0%","2.0%","2.0%",,,,"1.0%","2.0%","1.0%","2.0%",,,"2.0%","2.0%","2.0%"

7,6/14/2017,6/19/2017,"147.5","143.66","($3.84)",,"$3.21","$1.86","$2.11","$1.47",,,"$3.51","$1.35","$0.83","$1.05","$0.79",,,"$1.22",,"$0.03","($0.64)","($0.76)"
,6/14/2017,6/19/2017,"","","-3.0%",,"2.0%","1.0%","1.0%","1.0%",,,"2.0%","1.0%","1.0%","1.0%","1.0%",,,"1.0%",,"0.0%","0.0%","-1.0%"

8,7/27/2017,8/1/2017,"153.75","149.1","($4.65)",,"$10.18","$7.95","$6.97",,,"$7.96","$9.50","$10.16","$10.80","$7.50",,,"$10.22","$11.56","$12.84","$11.42","$8.76",,,"$8.40"
,7/27/2017,8/1/2017,"","","-3.0%",,"7.0%","5.0%","5.0%",,,"5.0%","6.0%","7.0%","7.0%","5.0%",,,"7.0%","8.0%","9.0%","8.0%","6.0%",,,"6.0%"

9,8/16/2017,8/21/2017,"161.94","157.5","($4.44)",,"$0.73","$1.57","$2.93","$2.15",,,"$2.64","$2.60","$6.30","$6.14","$7.30",,,,"$6.25","$5.21","$4.59","$3.36"
,8/16/2017,8/21/2017,"","","-3.0%",,"0.0%","1.0%","2.0%","1.0%",,,"2.0%","2.0%","4.0%","4.0%","5.0%",,,,"4.0%","3.0%","3.0%","2.0%"

10,9/12/2017,9/15/2017,"162.61","158.47","($4.14)",,,,"$1.64","$1.04","($0.57)","($2.67)","($6.93)",,,"($8.48)","($6.69)","($4.67)","($4.58)","($5.26)",,,"($4.21)","($4.46)","($4.84)","($4.29)"
,9/12/2017,9/15/2017,"","","-3.0%",,,,"1.0%","1.0%","0.0%","-2.0%","-4.0%",,,"-5.0%","-4.0%","-3.0%","-3.0%","-3.0%",,,"-3.0%","-3.0%","-3.0%","-3.0%"

11,9/18/2017,9/21/2017,"160.11","155.8","($4.31)",,"($4.26)",,,"($5.81)","($4.02)","($2.00)","($1.91)","($2.59)",,,"($1.54)","($1.79)","($2.17)","($1.62)","($0.83)",,,"$0.01","$0.26","$0.17"
,9/18/2017,9/21/2017,"","","-3.0%",,"-3.0%",,,"-4.0%","-3.0%","-1.0%","-1.0%","-2.0%",,,"-1.0%","-1.0%","-1.0%","-1.0%","-1.0%",,,"0.0%","0.0%","0.0%"

12,9/21/2017,9/26/2017,"155.8","151.78","($4.02)",,"$2.02","$2.11","$1.43",,,"$2.48","$2.23","$1.85","$2.40","$3.19",,,"$4.03","$4.28","$4.19","$4.57","$4.95",,,"$6.12"
,9/21/2017,9/26/2017,"","","-3.0%",,"1.0%","1.0%","1.0%",,,"2.0%","1.0%","1.0%","2.0%","2.0%",,,"3.0%","3.0%","3.0%","3.0%","3.0%",,,"4.0%"

13,11/10/2017,11/15/2017,"175.11","169.97","($5.14)",,"$1.21","$1.07",,,"$0.32","$0.81","$3.39",,"$5.13",,,"$5.08","$4.33","$2.66","$0.46","($0.02)",,,"$2.51","($0.91)"
,11/10/2017,11/15/2017,"","","-3.0%",,"1.0%","1.0%",,,"0.0%","0.0%","2.0%",,"3.0%",,,"3.0%","3.0%","2.0%","0.0%","0.0%",,,"1.0%","-1.0%"

14,11/27/2017,11/30/2017,"175.05","170.43","($4.62)",,"($0.48)",,,"$2.05","($1.37)","($2.93)","($1.40)","$0.06",,,"($1.23)","$1.72","$2.07","$1.97","$3.20",,,"$4.45","$4.60","$4.44"
,11/27/2017,11/30/2017,"","","-3.0%",,"0.0%",,,"1.0%","-1.0%","-2.0%","-1.0%","0.0%",,,"-1.0%","1.0%","1.0%","1.0%","2.0%",,,"3.0%","3.0%","3.0%"

15,5/16/2017,5/19/2017,"155.94","153.38","($2.56)",,,,"$0.62","$1.52","$0.46","$0.35","$0.62",,,,"$0.04","$0.59","($0.21)","$0.20",,,"$0.96","$0.52","$1.64","$1.87"
,5/16/2017,5/19/2017,"","","-2.0%",,,,"0.0%","1.0%","0.0%","0.0%","0.0%",,,,"0.0%","0.0%","0.0%","0.0%",,,"1.0%","0.0%","1.0%","1.0%"

16,6/12/2017,6/15/2017,"145.74","143.32","($2.42)",,"$0.46",,,"$0.34","$3.55","$2.20","$2.45","$1.81",,,"$3.85","$1.69","$1.17","$1.39","$1.13",,,"$1.56",,"$0.37"
,6/12/2017,6/15/2017,"","","-2.0%",,"0.0%",,,"0.0%","2.0%","2.0%","2.0%","1.0%",,,"3.0%","1.0%","1.0%","1.0%","1.0%",,,"1.0%",,"0.0%"

17,6/13/2017,6/16/2017,"147.16","143.78","($3.38)",,,,"($0.12)","$3.09","$1.74","$1.99","$1.35",,,"$3.39","$1.23","$0.71","$0.93","$0.67",,,"$1.10",,"($0.09)","($0.76)"
,6/13/2017,6/16/2017,"","","-2.0%",,,,"0.0%","2.0%","1.0%","1.0%","1.0%",,,"2.0%","1.0%","0.0%","1.0%","0.0%",,,"1.0%",,"0.0%","-1.0%"

18,6/26/2017,6/29/2017,"147.17","144.71","($2.46)",,"($0.26)",,,"$0.17",,"($1.02)","($1.69)","($1.81)",,,"($0.60)","$0.02","$1.16","$0.79","$3.26",,,"$4.11","$4.49","$5.77"
,6/26/2017,6/29/2017,"","","-2.0%",,"0.0%",,,"0.0%",,"-1.0%","-1.0%","-1.0%",,,"0.0%","0.0%","1.0%","1.0%","2.0%",,,"3.0%","3.0%","4.0%"

19,7/26/2017,7/31/2017,"153.35","149.9","($3.45)",,"($0.80)","$9.38","$7.15","$6.17",,,"$7.16","$8.70","$9.36","$10.00","$6.70",,,"$9.42","$10.76","$12.04","$10.62","$7.96"
