,,,,,,,Difference X Days Later
,,,,,,,1 days,2 days,3 days,4 days,5 days,6 days,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days
Rank, Start Date, End Date, Start Value, End Value, Difference in $, ,
,,,,,Difference in %,
1,6/9/2017,6/15/2017,"155.19","143.32","($11.87)",,"$0.46",,,"$0.34","$3.55","$2.20","$2.45","$1.81",,,"$3.85","$1.69","$1.17","$1.39","$1.13",,,"$1.56",,"$0.37"
,6/9/2017,6/15/2017,"","","-8.0%",,"0.0%",,,"0.0%","2.0%","2.0%","2.0%","1.0%",,,"3.0%","1.0%","1.0%","1.0%","1.0%",,,"1.0%",,"0.0%"

2,9/19/2017,9/25/2017,"159.51","149.99","($9.52)",,"$1.79","$3.81","$3.90","$3.22",,,"$4.27","$4.02","$3.64","$4.19","$4.98",,,"$5.82","$6.07","$5.98","$6.36","$6.74"
,9/19/2017,9/25/2017,"","","-6.0%",,"1.0%","3.0%","3.0%","2.0%",,,"3.0%","3.0%","2.0%","3.0%","3.0%",,,"4.0%","4.0%","4.0%","4.0%","4.0%"

3,6/6/2017,6/12/2017,"153.9","145.74","($8.16)",,"$1.42","$1.76","($2.42)","($1.96)",,,"($2.08)","$1.13","($0.22)","$0.03","($0.61)",,,"$1.43","($0.73)","($1.25)","($1.03)","($1.29)"
,6/6/2017,6/12/2017,"","","-5.0%",,"1.0%","1.0%","-2.0%","-1.0%",,,"-1.0%","1.0%","0.0%","0.0%","0.0%",,,"1.0%","-1.0%","-1.0%","-1.0%","-1.0%"

4,6/7/2017,6/13/2017,"155.02","147.16","($7.86)",,"$0.34","($3.84)","($3.38)",,,"($3.50)","($0.29)","($1.64)","($1.39)","($2.03)",,,"$0.01","($2.15)","($2.67)","($2.45)","($2.71)",,,"($2.28)"
,6/7/2017,6/13/2017,"","","-5.0%",,"0.0%","-3.0%","-2.0%",,,"-2.0%","0.0%","-1.0%","-1.0%","-1.0%",,,"0.0%","-1.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%"

5,6/8/2017,6/14/2017,"155.25","147.5","($7.75)",,"($4.18)","($3.72)",,,"($3.84)","($0.63)","($1.98)","($1.73)","($2.37)",,,"($0.33)","($2.49)","($3.01)","($2.79)","($3.05)",,,"($2.62)"
,6/8/2017,6/14/2017,"","","-5.0%",,"-3.0%","-3.0%",,,"-3.0%","0.0%","-1.0%","-1.0%","-2.0%",,,"0.0%","-2.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%"

6,9/18/2017,9/22/2017,"160.11","151.54","($8.57)",,,,"($1.55)","$0.24","$2.26","$2.35","$1.67",,,"$2.72","$2.47","$2.09","$2.64","$3.43",,,"$4.27","$4.52","$4.43","$4.81"
,9/18/2017,9/22/2017,"","","-5.0%",,,,"-1.0%","0.0%","1.0%","2.0%","1.0%",,,"2.0%","2.0%","1.0%","2.0%","2.0%",,,"3.0%","3.0%","3.0%","3.0%"

7,9/20/2017,9/26/2017,"157.9","151.78","($6.12)",,"$2.02","$2.11","$1.43",,,"$2.48","$2.23","$1.85","$2.40","$3.19",,,"$4.03","$4.28","$4.19","$4.57","$4.95",,,"$6.12"
,9/20/2017,9/26/2017,"","","-4.0%",,"1.0%","1.0%","1.0%",,,"2.0%","1.0%","1.0%","2.0%","2.0%",,,"3.0%","3.0%","3.0%","3.0%","3.0%",,,"4.0%"

8,7/26/2017,8/1/2017,"153.35","149.1","($4.25)",,"$10.18","$7.95","$6.97",,,"$7.96","$9.50","$10.16","$10.80","$7.50",,,"$10.22","$11.56","$12.84","$11.42","$8.76",,,"$8.40"
,7/26/2017,8/1/2017,"","","-3.0%",,"7.0%","5.0%","5.0%",,,"5.0%","6.0%","7.0%","7.0%","5.0%",,,"7.0%","8.0%","9.0%","8.0%","6.0%",,,"6.0%"

9,10/18/2017,10/24/2017,"160.42","156.29","($4.13)",,"$0.62","$0.94","$3.00",,,"$7.60","$11.61","$13.58","$10.31","$17.71",,,"$16.08","$17.62","$18.37","$18.82","$18.82",,,"$17.21"
,10/18/2017,10/24/2017,"","","-3.0%",,"0.0%","1.0%","2.0%",,,"5.0%","7.0%","9.0%","7.0%","11.0%",,,"10.0%","11.0%","12.0%","12.0%","12.0%",,,"11.0%"

10,11/9/2017,11/15/2017,"175.11","169.97","($5.14)",,"$1.21","$1.07",,,"$0.32","$0.81","$3.39",,"$5.13",,,"$5.08","$4.33","$2.66","$0.46","($0.02)",,,"$2.51","($0.91)"
,11/9/2017,11/15/2017,"","","-3.0%",,"1.0%","1.0%",,,"0.0%","0.0%","2.0%",,"3.0%",,,"3.0%","3.0%","2.0%","0.0%","0.0%",,,"1.0%","-1.0%"

11,11/24/2017,11/30/2017,"175.1","170.43","($4.67)",,"($0.48)",,,"$2.05","($1.37)","($2.93)","($1.40)","$0.06",,,"($1.23)","$1.72","$2.07","$1.97","$3.20",,,"$4.45","$4.60","$4.44"
,11/24/2017,11/30/2017,"","","-3.0%",,"0.0%",,,"1.0%","-1.0%","-2.0%","-1.0%","0.0%",,,"-1.0%","1.0%","1.0%","1.0%","2.0%",,,"3.0%","3.0%","3.0%"

12,11/27/2017,12/1/2017,"175.05","169.95","($5.10)",,,,"$2.53","($0.89)","($2.45)","($0.92)","$0.54",,,"($0.75)","$2.20","$2.55","$2.45","$3.68",,,"$4.93","$5.08","$4.92","$4.22"
,11/27/2017,12/1/2017,"","","-3.0%",,,,"1.0%","-1.0%","-1.0%","-1.0%","0.0%",,,"0.0%","1.0%","2.0%","1.0%","2.0%",,,"3.0%","3.0%","3.0%","2.0%"

13,3/21/2017,3/27/2017,"142.11","139.39","($2.72)",,"$1.52","$4.29","$4.80","$4.33",,,"$4.32","$3.86","$4.83","$4.90","$4.34",,,"$4.21","$3.55","$2.21","$2.52"
,3/21/2017,3/27/2017,"","","-2.0%",,"1.0%","3.0%","3.0%","3.0%",,,"3.0%","3.0%","3.0%","4.0%","3.0%",,,"3.0%","3.0%","2.0%","2.0%"

14,4/6/2017,4/12/2017,"144.29","141.6","($2.69)",,"$0.31",,,,"($0.12)","($0.19)","$0.28","($0.38)","$0.84",,,"$1.90","$2.31","$2.87","$2.32","$2.49",,,"$3.50","$5.94"
,4/6/2017,4/12/2017,"","","-2.0%",,"0.0%",,,,"0.0%","0.0%","0.0%","0.0%","1.0%",,,"1.0%","2.0%","2.0%","2.0%","2.0%",,,"2.0%","4.0%"

15,5/12/2017,5/18/2017,"154.7","151.27","($3.43)",,"$2.11",,,"$2.73","$3.63","$2.57","$2.46","$2.73",,,,"$2.15","$2.70","$1.90","$2.31",,,"$3.07","$2.63","$3.75"
,5/12/2017,5/18/2017,"","","-2.0%",,"1.0%",,,"2.0%","2.0%","2.0%","2.0%","2.0%",,,,"1.0%","2.0%","1.0%","2.0%",,,"2.0%","2.0%","2.0%"

16,5/15/2017,5/19/2017,"156.01","153.38","($2.63)",,,,"$0.62","$1.52","$0.46","$0.35","$0.62",,,,"$0.04","$0.59","($0.21)","$0.20",,,"$0.96","$0.52","$1.64","$1.87"
,5/15/2017,5/19/2017,"","","-2.0%",,,,"0.0%","1.0%","0.0%","0.0%","0.0%",,,,"0.0%","0.0%","0.0%","0.0%",,,"1.0%","0.0%","1.0%","1.0%"

17,6/13/2017,6/19/2017,"147.16","143.66","($3.50)",,"$3.21","$1.86","$2.11","$1.47",,,"$3.51","$1.35","$0.83","$1.05","$0.79",,,"$1.22",,"$0.03","($0.64)","($0.76)"
,6/13/2017,6/19/2017,"","","-2.0%",,"2.0%","1.0%","1.0%","1.0%",,,"2.0%","1.0%","1.0%","1.0%","1.0%",,,"1.0%",,"0.0%","0.0%","-1.0%"

18,6/26/2017,6/30/2017,"147.17","144.45","($2.72)",,,,"$0.43",,"($0.76)","($1.43)","($1.55)",,,"($0.34)","$0.28","$1.42","$1.05","$3.52",,,"$4.37","$4.75","$6.03","$7.05"
,6/26/2017,6/30/2017,"","","-2.0%",,,,"0.0%",,"-1.0%","-1.0%","-1.0%",,,"0.0%","0.0%","1.0%","1.0%","2.0%",,,"3.0%","3.0%","4.0%","5.0%"

19,8/15/2017,8/21/2017,"160.66","157.5","($3.16)",,"$0.73","$1.57","$2.93","$2.15",,,"$2.64","$2.60","$6.30","$6.14","$7.30",,,,"$6.25","$5.21","$4.59","$3.36"
,8/15/2017,8/21/2017,"","","-2.0%",,"0.0%","1.0%","2.0%","1.0%",,,"2.0%","2.0%","4.0%","4.0%","5.0%",,,,"4.0%","3.0%","3.0%","2.0%"

