6/9/2017,2826.7,2499.98
6/10/2017,2942.34,2460.2
6/11/2017,3018.54,2529.78
6/12/2017,2682.59,2581.07
6/13/2017,2738.93,2625.07
6/14/2017,2494.48,2629.27
6/15/2017,2456.92,2619.11
6/16/2017,2528.1,2521.24
6/17/2017,2664,2579.93
6/18/2017,2576.17,2525.67
6/19/2017,2641.66,2371.96
6/20/2017,2778.83,2332.19
6/21/2017,2712.16,2423.16
6/22/2017,2740.79,2364.52
6/23/2017,2738.22,2232.65
6/24/2017,2619.12,1993.26
6/25/2017,2594.45,1938.94
6/26/2017,2485.36,2244.26
6/27/2017,2593.17,2327.9
6/28/2017,2584.56,2294.4
6/29/2017,2561.56,2877.39
6/30/2017,2499.98,2694.29
7/1/2017,2460.2,2838.81
7/2/2017,2529.78,2762.63
7/3/2017,2581.07,2779.04
7/4/2017,2625.07,2591.22
7/5/2017,2629.27,2550.18
7/6/2017,2619.11,2697.47
7/7/2017,2521.24,2805.18
7/8/2017,2579.93,2720.08
7/9/2017,2525.67,2746.33
7/10/2017,2371.96,2873.83
7/11/2017,2332.19,2735.59
7/12/2017,2423.16,2723.58
7/13/2017,2364.52,2814.36
7/14/2017,2232.65,2883.68
7/15/2017,1993.26,3301.76
7/16/2017,1938.94,3255
7/17/2017,2244.26,3431.97
7/18/2017,2327.9,3453.16
7/19/2017,2294.4,3377.54
7/20/2017,2877.39,3445.28
7/21/2017,2694.29,3679.61
7/22/2017,2838.81,3917.65
7/23/2017,2762.63,4111.2
7/24/2017,2779.04,4382.74
7/25/2017,2591.22,4204.43
7/26/2017,2550.18,4425.3
7/27/2017,2697.47,4316.34
7/28/2017,2805.18,4159.46
7/29/2017,2720.08,4206.13
7/30/2017,2746.33,4111.22
7/31/2017,2873.83,4054.94
8/1/2017,2735.59,4137.67
8/2/2017,2723.58,4191.22
8/3/2017,2814.36,4362.47
8/4/2017,2883.68,4408.32
8/5/2017,3301.76,4387.46
8/6/2017,3255,4394.51
8/7/2017,3431.97,4439.66
8/8/2017,3453.16,4648.13
8/9/2017,3377.54,4630.73
8/10/2017,3445.28,4764.87
8/11/2017,3679.61,4950.72
8/12/2017,3917.65,4643.97
8/13/2017,4111.2,4631.69
8/14/2017,4382.74,4319.72
8/15/2017,4204.43,4422.12
8/16/2017,4425.3,4626.72
8/17/2017,4316.34,4638.1
8/18/2017,4159.46,4317.54
8/19/2017,4206.13,4291.88
8/20/2017,4111.22,4191.17
8/21/2017,4054.94,4188.84
8/22/2017,4137.67,4148.27
8/23/2017,4191.22,3874.26
8/24/2017,4362.47,3226.41
8/25/2017,4408.32,3686.9
8/26/2017,4387.46,3678.74
8/27/2017,4394.51,3672.57
8/28/2017,4439.66,4067.08
8/29/2017,4648.13,3897
8/30/2017,4630.73,3858.09
8/31/2017,4764.87,3612.68
9/1/2017,4950.72,3603.31
9/2/2017,4643.97,3777.29
9/3/2017,4631.69,3662.12
9/4/2017,4319.72,3927.5
9/5/2017,4422.12,3895.51
9/6/2017,4626.72,4208.56
9/7/2017,4638.1,4185.29
9/8/2017,4317.54,4164.1
9/9/2017,4291.88,4353.05
9/10/2017,4191.17,4394.64
9/11/2017,4188.84,4404.1
9/12/2017,4148.27,4320.09
9/13/2017,3874.26,4225.92
9/14/2017,3226.41,4322.75
9/15/2017,3686.9,4370.24
9/16/2017,3678.74,4437.03
9/17/2017,3672.57,4596.96
9/18/2017,4067.08,4772.97
9/19/2017,3897,4754.7
9/20/2017,3858.09,4830.77
9/21/2017,3612.68,5439.13
9/22/2017,3603.31,5640.13
9/23/2017,3777.29,5809.69
9/24/2017,3662.12,5697.39
9/25/2017,3927.5,5754.22
9/26/2017,3895.51,5595.23
9/27/2017,4208.56,5572.2
9/28/2017,4185.29,5699.58
9/29/2017,4164.1,5984.09
9/30/2017,4353.05,6013.23
10/1/2017,4394.64,5984.96
10/2/2017,4404.1,5895.3
10/3/2017,4320.09,5518.85
10/4/2017,4225.92,5733.9
10/5/2017,4322.75,5888.14
10/6/2017,4370.24,5767.68
10/7/2017,4437.03,5732.82
10/8/2017,4596.96,6140.53
10/9/2017,4772.97,6121.8
10/10/2017,4754.7,6447.67
10/11/2017,4830.77,6750.17
10/12/2017,5439.13,7030
10/13/2017,5640.13,7161.45
10/14/2017,5809.69,7387
10/15/2017,5697.39,7382.45
10/16/2017,5754.22,6958.21
10/17/2017,5595.23,7118.8
10/18/2017,5572.2,7458.79
10/19/2017,5699.58,7146.78
10/20/2017,5984.09,6570.31
10/21/2017,6013.23,6337
10/22/2017,5984.96,5857.32
10/23/2017,5895.3,6517.68
10/24/2017,5518.85,6598.77
10/25/2017,5733.9,7279
10/26/2017,5888.14,7843.94
10/27/2017,5767.68,7689.91
10/28/2017,5732.82,7776.94
10/29/2017,6140.53,8033.94
10/30/2017,6121.8,8238.2
10/31/2017,6447.67,8095.59
11/1/2017,6750.17,8230.69
11/2/2017,7030,8002.64
11/3/2017,7161.45,8201.46
11/4/2017,7387,8763.78
11/5/2017,7382.45,9326.59
11/6/2017,6958.21,9739.05
11/7/2017,7118.8,9908.23
11/8/2017,7458.79,9816.35
11/9/2017,7146.78,9916.54
11/10/2017,6570.31,10859.56
11/11/2017,6337,10895.01
11/12/2017,5857.32,11180.89
11/13/2017,6517.68,11616.85
11/14/2017,6598.77,11696.06
11/15/2017,7279,13708.99
11/16/2017,7843.94,16858.02
11/17/2017,7689.91,16057.14
11/18/2017,7776.94,14913.4
11/19/2017,8033.94,15036.96
11/20/2017,8238.2,16699.68
11/21/2017,8095.59,17178.1
11/22/2017,8230.69,16407.2
11/23/2017,8002.64,16531.08
11/24/2017,8201.46,17601.94
11/25/2017,8763.78,19343.04
11/26/2017,9326.59,19086.64
11/27/2017,9739.05,18960.52
11/28/2017,9908.23,17608.35
11/29/2017,9816.35,16454.72
11/30/2017,9916.54,15561.05
12/1/2017,10859.56,
12/2/2017,10895.01,
12/3/2017,11180.89,
12/4/2017,11616.85,
12/5/2017,11696.06,
12/6/2017,13708.99,
12/7/2017,16858.02,
12/8/2017,16057.14,
12/9/2017,14913.4,
12/10/2017,15036.96,
12/11/2017,16699.68,
12/12/2017,17178.1,
12/13/2017,16407.2,
12/14/2017,16531.08,
12/15/2017,17601.94,
12/16/2017,19343.04,
12/17/2017,19086.64,
12/18/2017,18960.52,
12/19/2017,17608.35,
12/20/2017,16454.72,
12/21/2017,15561.05,
12/22/2017,13183.16,
