,,,,,,,Difference X Days Later
,,,,,,,1 days,2 days,3 days,4 days,5 days,6 days,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days
Rank, Start Date, End Date, Start Value, End Value, Difference in $, ,
,,,,,Difference in %,
1,10/26/2017,10/31/2017,"157.23","167.9","$10.67",,"$1.97","($1.30)","$6.10",,,"$4.47","$6.01","$6.76","$7.21","$7.21",,,"$5.60","$5.14","$2.07","$3.28","$3.14",,,"$2.39"
,10/26/2017,10/31/2017,"","","7.0%",,"1.0%","-1.0%","4.0%",,,"3.0%","4.0%","4.0%","4.0%","4.0%",,,"3.0%","3.0%","1.0%","2.0%","2.0%",,,"1.0%"

2,10/27/2017,11/1/2017,"159.29","169.87","$10.58",,"($3.27)","$4.13",,,"$2.50","$4.04","$4.79","$5.24","$5.24",,,"$3.63","$3.17","$0.10","$1.31","$1.17",,,"$0.42","$0.91"
,10/27/2017,11/1/2017,"","","7.0%",,"-2.0%","2.0%",,,"1.0%","2.0%","3.0%","3.0%","3.0%",,,"2.0%","2.0%","0.0%","1.0%","1.0%",,,"0.0%","1.0%"

3,1/30/2017,2/2/2017,"120.93","127.98","$7.05",,"$0.33",,,"$1.15","$2.56","$3.37","$3.67","$4.48",,,"$5.10","$5.49","$7.54","$7.69","$7.12",,,,"$8.25","$8.45"
,1/30/2017,2/2/2017,"","","6.0%",,"0.0%",,,"1.0%","2.0%","3.0%","3.0%","4.0%",,,"4.0%","4.0%","6.0%","6.0%","6.0%",,,,"6.0%","7.0%"

4,1/31/2017,2/3/2017,"121.15","128.31","$7.16",,,,"$0.82","$2.23","$3.04","$3.34","$4.15",,,"$4.77","$5.16","$7.21","$7.36","$6.79",,,,"$7.92","$8.12","$9.07"
,1/31/2017,2/3/2017,"","","6.0%",,,,"1.0%","2.0%","2.0%","3.0%","3.0%",,,"4.0%","4.0%","6.0%","6.0%","5.0%",,,,"6.0%","6.0%","7.0%"

5,7/28/2017,8/2/2017,"149.89","159.28","$9.39",,"($2.23)","($3.21)",,,"($2.22)","($0.68)","($0.02)","$0.62","($2.68)",,,"$0.04","$1.38","$2.66","$1.24","($1.42)",,,"($1.78)","($1.05)"
,7/28/2017,8/2/2017,"","","6.0%",,"-1.0%","-2.0%",,,"-1.0%","0.0%","0.0%","0.0%","-2.0%",,,"0.0%","1.0%","2.0%","1.0%","-1.0%",,,"-1.0%","-1.0%"

6,5/4/2017,5/9/2017,"146.52","153.87","$7.35",,"($0.24)","($1.42)","$0.83",,,"$2.14","$2.07","($0.27)","($2.60)","($0.49)",,,"$0.13","$1.03","($0.03)","($0.14)","$0.13"
,5/4/2017,5/9/2017,"","","5.0%",,"0.0%","-1.0%","1.0%",,,"1.0%","1.0%","0.0%","-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%"

7,5/5/2017,5/10/2017,"146.76","153.63","$6.87",,"($1.18)","$1.07",,,"$2.38","$2.31","($0.03)","($2.36)","($0.25)",,,"$0.37","$1.27","$0.21","$0.10","$0.37",,,,"($0.21)"
,5/5/2017,5/10/2017,"","","5.0%",,"-1.0%","1.0%",,,"2.0%","2.0%","0.0%","-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%",,,,"0.0%"

8,7/31/2017,8/3/2017,"149.9","157.05","$7.15",,"($0.98)",,,"$0.01","$1.55","$2.21","$2.85","($0.45)",,,"$2.27","$3.61","$4.89","$3.47","$0.81",,,"$0.45","$1.18","$2.02"
,7/31/2017,8/3/2017,"","","5.0%",,"-1.0%",,,"0.0%","1.0%","1.0%","2.0%","0.0%",,,"1.0%","2.0%","3.0%","2.0%","1.0%",,,"0.0%","1.0%","1.0%"

9,8/1/2017,8/4/2017,"149.1","156.07","$6.97",,,,"$0.99","$2.53","$3.19","$3.83","$0.53",,,"$3.25","$4.59","$5.87","$4.45","$1.79",,,"$1.43","$2.16","$3.00","$4.36"
,8/1/2017,8/4/2017,"","","5.0%",,,,"1.0%","2.0%","2.0%","2.0%","0.0%",,,"2.0%","3.0%","4.0%","3.0%","1.0%",,,"1.0%","1.0%","2.0%","3.0%"

10,1/27/2017,2/1/2017,"122.14","127.03","$4.89",,"$0.95","$1.28",,,"$2.10","$3.51","$4.32","$4.62","$5.43",,,"$6.05","$6.44","$8.49","$8.64","$8.07",,,,"$9.20"
,1/27/2017,2/1/2017,"","","4.0%",,"1.0%","1.0%",,,"2.0%","3.0%","3.0%","4.0%","4.0%",,,"5.0%","5.0%","7.0%","7.0%","6.0%",,,,"7.0%"

11,10/25/2017,10/30/2017,"156.91","163.89","$6.98",,"$4.01","$5.98","$2.71","$10.11",,,"$8.48","$10.02","$10.77","$11.22","$11.22",,,"$9.61","$9.15","$6.08","$7.29","$7.15"
,10/25/2017,10/30/2017,"","","4.0%",,"2.0%","4.0%","2.0%","6.0%",,,"5.0%","6.0%","7.0%","7.0%","7.0%",,,"6.0%","6.0%","4.0%","4.0%","4.0%"

12,10/31/2017,11/3/2017,"167.9","174","$6.10",,,,"($1.63)","($0.09)","$0.66","$1.11","$1.11",,,"($0.50)","($0.96)","($4.03)","($2.82)","($2.96)",,,"($3.71)","($3.22)","($0.64)"
,10/31/2017,11/3/2017,"","","4.0%",,,,"-1.0%","0.0%","0.0%","1.0%","1.0%",,,"0.0%","-1.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%","-2.0%","0.0%"

13,11/2/2017,11/7/2017,"166.6","173.91","$7.31",,"$0.75","$1.20","$1.20",,,"($0.41)","($0.87)","($3.94)","($2.73)","($2.87)",,,"($3.62)","($3.13)","($0.55)",,"$1.19",,,"$1.14"
,11/2/2017,11/7/2017,"","","4.0%",,"0.0%","1.0%","1.0%",,,"0.0%","-1.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%","-2.0%","0.0%",,"1.0%",,,"1.0%"

14,3/27/2017,3/30/2017,"139.39","144.19","$4.80",,"($0.47)",,,"($0.48)","($0.94)","$0.03","$0.10","($0.46)",,,"($0.59)","($1.25)","($2.59)","($2.28)",,,,"($2.71)","($2.78)","($2.31)"
,3/27/2017,3/30/2017,"","","3.0%",,"0.0%",,,"0.0%","-1.0%","0.0%","0.0%","0.0%",,,"0.0%","-1.0%","-2.0%","-2.0%",,,,"-2.0%","-2.0%","-2.0%"

15,4/27/2017,5/2/2017,"143.92","147.54","$3.62",,"($1.95)","($1.02)","($0.78)",,,"$1.49","$6.33","$6.09","$4.91","$7.16",,,"$8.47","$8.40","$6.06","$3.73","$5.84",,,"$6.46"
,4/27/2017,5/2/2017,"","","3.0%",,"-1.0%","-1.0%","-1.0%",,,"1.0%","4.0%","4.0%","3.0%","5.0%",,,"6.0%","6.0%","4.0%","3.0%","4.0%",,,"4.0%"

16,7/13/2017,7/18/2017,"145.5","149.2","$3.70",,"$1.28","$2.30","$0.79",,,"$1.38","$2.60","$4.15","$4.55","$0.69",,,"$0.70","($0.10)","$10.08","$7.85","$6.87",,,"$7.86"
,7/13/2017,7/18/2017,"","","3.0%",,"1.0%","2.0%","1.0%",,,"1.0%","2.0%","3.0%","3.0%","0.0%",,,"0.0%","0.0%","7.0%","5.0%","5.0%",,,"5.0%"

17,8/11/2017,8/16/2017,"156.6","161.94","$5.34",,"($1.42)","($4.08)",,,"($4.44)","($3.71)","($2.87)","($1.51)","($2.29)",,,"($1.80)","($1.84)","$1.86","$1.70","$2.86",,,,"$1.81"
,8/11/2017,8/16/2017,"","","3.0%",,"-1.0%","-3.0%",,,"-3.0%","-2.0%","-2.0%","-1.0%","-1.0%",,,"-1.0%","-1.0%","1.0%","1.0%","2.0%",,,,"1.0%"

18,8/25/2017,8/30/2017,"159.65","163.8","$4.15",,"($0.16)","$1.00",,,,"($0.05)","($1.09)","($1.71)","($2.94)",,,"($3.30)","($1.19)","($3.93)","($4.81)","($5.33)",,,"($3.69)","($4.29)"
,8/25/2017,8/30/2017,"","","3.0%",,"0.0%","1.0%",,,,"0.0%","-1.0%","-1.0%","-2.0%",,,"-2.0%","-1.0%","-2.0%","-3.0%","-3.0%",,,"-2.0%","-3.0%"

19,8/29/2017,9/1/2017,"160.1","164.8","$4.70",,,,,"($1.05)","($2.09)","($2.71)","($3.94)",,,"($4.30)","($2.19)","($4.93)","($5.81)","($6.33)",,,"($4.69)","($5.29)","($6.90)","($9.00)"
,8/29/2017,9/1/2017,"","","3.0%",,,,,"-1.0%","-1.0%","-2.0%","-2.0%",,,"-3.0%","-1.0%","-3.0%","-4.0%","-4.0%",,,"-3.0%","-3.0%","-4.0%","-5.0%"

