,,,,,,,Difference X Days Later
,,,,,,,1 days,2 days,3 days,4 days,5 days,6 days,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days
Rank, Start Date, End Date, Start Value, End Value, Difference in $, ,
,,,,,Difference in %,
1,6/6/2017,6/15/2017,"153.9","143.32","($10.58)",,"$0.46",,,"$0.34","$3.55","$2.20","$2.45","$1.81",,,"$3.85","$1.69","$1.17","$1.39","$1.13",,,"$1.56",,"$0.37"
,6/6/2017,6/15/2017,"","","-7.0%",,"0.0%",,,"0.0%","2.0%","2.0%","2.0%","1.0%",,,"3.0%","1.0%","1.0%","1.0%","1.0%",,,"1.0%",,"0.0%"

2,6/7/2017,6/16/2017,"155.02","143.78","($11.24)",,,,"($0.12)","$3.09","$1.74","$1.99","$1.35",,,"$3.39","$1.23","$0.71","$0.93","$0.67",,,"$1.10",,"($0.09)","($0.76)"
,6/7/2017,6/16/2017,"","","-7.0%",,,,"0.0%","2.0%","1.0%","1.0%","1.0%",,,"2.0%","1.0%","0.0%","1.0%","0.0%",,,"1.0%",,"0.0%","-1.0%"

3,6/8/2017,6/19/2017,"155.25","143.66","($11.59)",,"$3.21","$1.86","$2.11","$1.47",,,"$3.51","$1.35","$0.83","$1.05","$0.79",,,"$1.22",,"$0.03","($0.64)","($0.76)"
,6/8/2017,6/19/2017,"","","-7.0%",,"2.0%","1.0%","1.0%","1.0%",,,"2.0%","1.0%","1.0%","1.0%","1.0%",,,"1.0%",,"0.0%","0.0%","-1.0%"

4,9/14/2017,9/25/2017,"158.99","149.99","($9.00)",,"$1.79","$3.81","$3.90","$3.22",,,"$4.27","$4.02","$3.64","$4.19","$4.98",,,"$5.82","$6.07","$5.98","$6.36","$6.74"
,9/14/2017,9/25/2017,"","","-6.0%",,"1.0%","3.0%","3.0%","2.0%",,,"3.0%","3.0%","2.0%","3.0%","3.0%",,,"4.0%","4.0%","4.0%","4.0%","4.0%"

5,6/1/2017,6/12/2017,"153.17","145.74","($7.43)",,"$1.42","$1.76","($2.42)","($1.96)",,,"($2.08)","$1.13","($0.22)","$0.03","($0.61)",,,"$1.43","($0.73)","($1.25)","($1.03)","($1.29)"
,6/1/2017,6/12/2017,"","","-5.0%",,"1.0%","1.0%","-2.0%","-1.0%",,,"-1.0%","1.0%","0.0%","0.0%","0.0%",,,"1.0%","-1.0%","-1.0%","-1.0%","-1.0%"

6,6/9/2017,6/20/2017,"155.19","146.87","($8.32)",,"($1.35)","($1.10)","($1.74)",,,"$0.30","($1.86)","($2.38)","($2.16)","($2.42)",,,"($1.99)",,"($3.18)","($3.85)","($3.97)",,,"($2.76)"
,6/9/2017,6/20/2017,"","","-5.0%",,"-1.0%","-1.0%","-1.0%",,,"0.0%","-1.0%","-2.0%","-1.0%","-2.0%",,,"-1.0%",,"-2.0%","-3.0%","-3.0%",,,"-2.0%"

7,9/13/2017,9/22/2017,"159.87","151.54","($8.33)",,,,"($1.55)","$0.24","$2.26","$2.35","$1.67",,,"$2.72","$2.47","$2.09","$2.64","$3.43",,,"$4.27","$4.52","$4.43","$4.81"
,9/13/2017,9/22/2017,"","","-5.0%",,,,"-1.0%","0.0%","1.0%","2.0%","1.0%",,,"2.0%","2.0%","1.0%","2.0%","2.0%",,,"3.0%","3.0%","3.0%","3.0%"

8,6/2/2017,6/13/2017,"153.58","147.16","($6.42)",,"$0.34","($3.84)","($3.38)",,,"($3.50)","($0.29)","($1.64)","($1.39)","($2.03)",,,"$0.01","($2.15)","($2.67)","($2.45)","($2.71)",,,"($2.28)"
,6/2/2017,6/13/2017,"","","-4.0%",,"0.0%","-3.0%","-2.0%",,,"-2.0%","0.0%","-1.0%","-1.0%","-1.0%",,,"0.0%","-1.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%"

9,6/5/2017,6/14/2017,"154.34","147.5","($6.84)",,"($4.18)","($3.72)",,,"($3.84)","($0.63)","($1.98)","($1.73)","($2.37)",,,"($0.33)","($2.49)","($3.01)","($2.79)","($3.05)",,,"($2.62)"
,6/5/2017,6/14/2017,"","","-4.0%",,"-3.0%","-3.0%",,,"-3.0%","0.0%","-1.0%","-1.0%","-2.0%",,,"0.0%","-2.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%"

10,9/12/2017,9/21/2017,"162.61","155.8","($6.81)",,"($4.26)",,,"($5.81)","($4.02)","($2.00)","($1.91)","($2.59)",,,"($1.54)","($1.79)","($2.17)","($1.62)","($0.83)",,,"$0.01","$0.26","$0.17"
,9/12/2017,9/21/2017,"","","-4.0%",,"-3.0%",,,"-4.0%","-3.0%","-1.0%","-1.0%","-2.0%",,,"-1.0%","-1.0%","-1.0%","-1.0%","-1.0%",,,"0.0%","0.0%","0.0%"

11,9/15/2017,9/26/2017,"158.47","151.78","($6.69)",,"$2.02","$2.11","$1.43",,,"$2.48","$2.23","$1.85","$2.40","$3.19",,,"$4.03","$4.28","$4.19","$4.57","$4.95",,,"$6.12"
,9/15/2017,9/26/2017,"","","-4.0%",,"1.0%","1.0%","1.0%",,,"2.0%","1.0%","1.0%","2.0%","2.0%",,,"3.0%","3.0%","3.0%","3.0%","3.0%",,,"4.0%"

12,9/18/2017,9/27/2017,"160.11","153.8","($6.31)",,"$0.09","($0.59)",,,"$0.46","$0.21","($0.17)","$0.38","$1.17",,,"$2.01","$2.26","$2.17","$2.55","$2.93",,,"$4.10","$5.98"
,9/18/2017,9/27/2017,"","","-4.0%",,"0.0%","0.0%",,,"0.0%","0.0%","0.0%","0.0%","1.0%",,,"1.0%","1.0%","1.0%","2.0%","2.0%",,,"3.0%","4.0%"

13,9/19/2017,9/28/2017,"159.51","153.89","($5.62)",,"($0.68)",,,"$0.37","$0.12","($0.26)","$0.29","$1.08",,,"$1.92","$2.17","$2.08","$2.46","$2.84",,,"$4.01","$5.89","$6.53"
,9/19/2017,9/28/2017,"","","-4.0%",,"0.0%",,,"0.0%","0.0%","0.0%","0.0%","1.0%",,,"1.0%","1.0%","1.0%","2.0%","2.0%",,,"3.0%","4.0%","4.0%"

14,11/27/2017,12/6/2017,"175.05","167.5","($7.55)",,"$1.53","$2.99",,,"$1.70","$4.65","$5.00","$4.90","$6.13",,,"$7.38","$7.53","$7.37","$6.67","$7.18"
,11/27/2017,12/6/2017,"","","-4.0%",,"1.0%","2.0%",,,"1.0%","3.0%","3.0%","3.0%","4.0%",,,"4.0%","4.0%","4.0%","4.0%","4.0%"

15,6/26/2017,7/6/2017,"147.17","143.02","($4.15)",,"($0.12)",,,"$1.09","$1.71","$2.85","$2.48","$4.95",,,"$5.80","$6.18","$7.46","$8.48","$6.97",,,"$7.56","$8.78","$10.33"
,6/26/2017,7/6/2017,"","","-3.0%",,"0.0%",,,"1.0%","1.0%","2.0%","2.0%","3.0%",,,"4.0%","4.0%","5.0%","6.0%","5.0%",,,"5.0%","6.0%","7.0%"

16,9/1/2017,9/13/2017,"164.8","159.87","($4.93)",,"($0.88)","($1.40)",,,"$0.24","($0.36)","($1.97)","($4.07)","($8.33)",,,"($9.88)","($8.09)","($6.07)","($5.98)","($6.66)",,,"($5.61)","($5.86)"
,9/1/2017,9/13/2017,"","","-3.0%",,"-1.0%","-1.0%",,,"0.0%","0.0%","-1.0%","-3.0%","-5.0%",,,"-6.0%","-5.0%","-4.0%","-4.0%","-4.0%",,,"-4.0%","-4.0%"

17,9/5/2017,9/14/2017,"163.75","158.99","($4.76)",,"($0.52)",,,"$1.12","$0.52","($1.09)","($3.19)","($7.45)",,,"($9.00)","($7.21)","($5.19)","($5.10)","($5.78)",,,"($4.73)","($4.98)","($5.36)"
,9/5/2017,9/14/2017,"","","-3.0%",,"0.0%",,,"1.0%","0.0%","-1.0%","-2.0%","-5.0%",,,"-6.0%","-5.0%","-3.0%","-3.0%","-4.0%",,,"-3.0%","-3.0%","-3.0%"

18,9/6/2017,9/15/2017,"162.71","158.47","($4.24)",,,,"$1.64","$1.04","($0.57)","($2.67)","($6.93)",,,"($8.48)","($6.69)","($4.67)","($4.58)","($5.26)",,,"($4.21)","($4.46)","($4.84)","($4.29)"
,9/6/2017,9/15/2017,"","","-3.0%",,,,"1.0%","1.0%","0.0%","-2.0%","-4.0%",,,"-5.0%","-4.0%","-3.0%","-3.0%","-3.0%",,,"-3.0%","-3.0%","-3.0%","-3.0%"

19,9/20/2017,9/29/2017,"157.9","153.21","($4.69)",,,,"$1.05","$0.80","$0.42","$0.97","$1.76",,,"$2.60","$2.85","$2.76","$3.14","$3.52",,,"$4.69","$6.57","$7.21","$3.54"
