,,,,,,,Difference X Days Later
,,,,,,,1 days,2 days,3 days,4 days,5 days,6 days,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days
Rank, Start Date, End Date, Start Value, End Value, Difference in $, ,
,,,,,Difference in %,
1,6/9/2017,6/12/2017,"155.19","145.74","($9.45)",,"$1.42","$1.76","($2.42)","($1.96)",,,"($2.08)","$1.13","($0.22)","$0.03","($0.61)",,,"$1.43","($0.73)","($1.25)","($1.03)","($1.29)"
,6/9/2017,6/12/2017,"","","-6.0%",,"1.0%","1.0%","-2.0%","-1.0%",,,"-1.0%","1.0%","0.0%","0.0%","0.0%",,,"1.0%","-1.0%","-1.0%","-1.0%","-1.0%"

2,6/14/2017,6/15/2017,"147.5","143.32","($4.18)",,"$0.46",,,"$0.34","$3.55","$2.20","$2.45","$1.81",,,"$3.85","$1.69","$1.17","$1.39","$1.13",,,"$1.56",,"$0.37"
,6/14/2017,6/15/2017,"","","-3.0%",,"0.0%",,,"0.0%","2.0%","2.0%","2.0%","1.0%",,,"3.0%","1.0%","1.0%","1.0%","1.0%",,,"1.0%",,"0.0%"

3,7/27/2017,7/28/2017,"153.75","149.89","($3.86)",,,,"$0.01","($0.79)","$9.39","$7.16","$6.18",,,"$7.17","$8.71","$9.37","$10.01","$6.71",,,"$9.43","$10.77","$12.05","$10.63"
,7/27/2017,7/28/2017,"","","-3.0%",,,,"0.0%","-1.0%","6.0%","5.0%","4.0%",,,"5.0%","6.0%","6.0%","7.0%","4.0%",,,"6.0%","7.0%","8.0%","7.0%"

4,9/21/2017,9/22/2017,"155.8","151.54","($4.26)",,,,"($1.55)","$0.24","$2.26","$2.35","$1.67",,,"$2.72","$2.47","$2.09","$2.64","$3.43",,,"$4.27","$4.52","$4.43","$4.81"
,9/21/2017,9/22/2017,"","","-3.0%",,,,"-1.0%","0.0%","1.0%","2.0%","1.0%",,,"2.0%","2.0%","1.0%","2.0%","2.0%",,,"3.0%","3.0%","3.0%","3.0%"

5,3/21/2017,3/22/2017,"142.11","139.85","($2.26)",,"$1.41","$1.65",,,"($0.46)","$1.06","$3.83","$4.34","$3.87",,,"$3.86","$3.40","$4.37","$4.44","$3.88",,,"$3.75","$3.09"
,3/21/2017,3/22/2017,"","","-2.0%",,"1.0%","1.0%",,,"0.0%","1.0%","3.0%","3.0%","3.0%",,,"3.0%","2.0%","3.0%","3.0%","3.0%",,,"3.0%","2.0%"

6,5/16/2017,5/17/2017,"155.94","153.6","($2.34)",,"($2.33)","($0.22)",,,"$0.40","$1.30","$0.24","$0.13","$0.40",,,,"($0.18)","$0.37","($0.43)","($0.02)",,,"$0.74","$0.30"
,5/16/2017,5/17/2017,"","","-2.0%",,"-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%",,,,"0.0%","0.0%","0.0%","0.0%",,,"0.0%","0.0%"

7,5/17/2017,5/18/2017,"153.6","151.27","($2.33)",,"$2.11",,,"$2.73","$3.63","$2.57","$2.46","$2.73",,,,"$2.15","$2.70","$1.90","$2.31",,,"$3.07","$2.63","$3.75"
,5/17/2017,5/18/2017,"","","-2.0%",,"1.0%",,,"2.0%","2.0%","2.0%","2.0%","2.0%",,,,"1.0%","2.0%","1.0%","2.0%",,,"2.0%","2.0%","2.0%"

8,8/10/2017,8/11/2017,"159.9","156.6","($3.30)",,,,"$2.72","$4.06","$5.34","$3.92","$1.26",,,"$0.90","$1.63","$2.47","$3.83","$3.05",,,"$3.54","$3.50","$7.20","$7.04"
,8/10/2017,8/11/2017,"","","-2.0%",,,,"2.0%","3.0%","3.0%","3.0%","1.0%",,,"1.0%","1.0%","2.0%","2.0%","2.0%",,,"2.0%","2.0%","5.0%","4.0%"

9,8/17/2017,8/18/2017,"160.52","157.86","($2.66)",,,,"($0.36)","$0.37","$1.21","$2.57","$1.79",,,"$2.28","$2.24","$5.94","$5.78","$6.94",,,,"$5.89","$4.85","$4.23"
,8/17/2017,8/18/2017,"","","-2.0%",,,,"0.0%","0.0%","1.0%","2.0%","1.0%",,,"1.0%","1.0%","4.0%","4.0%","4.0%",,,,"4.0%","3.0%","3.0%"

10,9/12/2017,9/13/2017,"162.61","159.87","($2.74)",,"($0.88)","($1.40)",,,"$0.24","($0.36)","($1.97)","($4.07)","($8.33)",,,"($9.88)","($8.09)","($6.07)","($5.98)","($6.66)",,,"($5.61)","($5.86)"
,9/12/2017,9/13/2017,"","","-2.0%",,"-1.0%","-1.0%",,,"0.0%","0.0%","-1.0%","-3.0%","-5.0%",,,"-6.0%","-5.0%","-4.0%","-4.0%","-4.0%",,,"-4.0%","-4.0%"

11,10/18/2017,10/19/2017,"160.42","156.75","($3.67)",,"($0.14)",,,"$0.14","($0.46)","$0.16","$0.48","$2.54",,,"$7.14","$11.15","$13.12","$9.85","$17.25",,,"$15.62","$17.16","$17.91"
,10/18/2017,10/19/2017,"","","-2.0%",,"0.0%",,,"0.0%","0.0%","0.0%","0.0%","2.0%",,,"5.0%","7.0%","8.0%","6.0%","11.0%",,,"10.0%","11.0%","11.0%"

12,11/1/2017,11/2/2017,"169.87","166.6","($3.27)",,"$7.40",,,"$5.77","$7.31","$8.06","$8.51","$8.51",,,"$6.90","$6.44","$3.37","$4.58","$4.44",,,"$3.69","$4.18","$6.76"
,11/1/2017,11/2/2017,"","","-2.0%",,"4.0%",,,"3.0%","4.0%","5.0%","5.0%","5.0%",,,"4.0%","4.0%","2.0%","3.0%","3.0%",,,"2.0%","3.0%","4.0%"

13,11/14/2017,11/15/2017,"173.04","169.97","($3.07)",,"$1.21","$1.07",,,"$0.32","$0.81","$3.39",,"$5.13",,,"$5.08","$4.33","$2.66","$0.46","($0.02)",,,"$2.51","($0.91)"
,11/14/2017,11/15/2017,"","","-2.0%",,"1.0%","1.0%",,,"0.0%","0.0%","2.0%",,"3.0%",,,"3.0%","3.0%","2.0%","0.0%","0.0%",,,"1.0%","-1.0%"

14,12/4/2017,12/5/2017,"172.48","169.06","($3.42)",,"($1.56)","($0.03)","$1.43",,,"$0.14","$3.09","$3.44","$3.34","$4.57",,,"$5.82","$5.97","$5.81","$5.11","$5.62"
,12/4/2017,12/5/2017,"","","-2.0%",,"-1.0%","0.0%","1.0%",,,"0.0%","2.0%","2.0%","2.0%","3.0%",,,"3.0%","4.0%","3.0%","3.0%","3.0%"

15,12/28/2016,12/29/2016,"117.52","116.45","($1.07)",,"$0.20",,,,"($0.65)","($0.60)","($0.53)","$0.33",,,"$1.50","$2.32","$2.29","$2.45","$2.66",,,,"$1.89","$3.55"
,12/28/2016,12/29/2016,"","","-1.0%",,"0.0%",,,,"-1.0%","-1.0%","0.0%","0.0%",,,"1.0%","2.0%","2.0%","2.0%","2.0%",,,,"2.0%","3.0%"

16,12/30/2016,1/3/2017,"116.65","115.8","($0.85)",,"$0.05","$0.12","$0.98",,,"$2.15","$2.97","$2.94","$3.10","$3.31",,,,"$2.54","$4.20","$3.60","$4.65",,,"$4.20"
,12/30/2016,1/3/2017,"","","-1.0%",,"0.0%","0.0%","1.0%",,,"2.0%","3.0%","3.0%","3.0%","3.0%",,,,"2.0%","4.0%","3.0%","4.0%",,,"4.0%"

17,1/13/2017,1/17/2017,"119.11","118.34","($0.77)",,"$1.66","$1.06","$2.11",,,"$1.66","$1.21","$2.08","$3.33","$3.80",,,"$2.59","$2.81","$8.69","$9.64","$9.97",,,"$10.79"
,1/13/2017,1/17/2017,"","","-1.0%",,"1.0%","1.0%","2.0%",,,"1.0%","1.0%","2.0%","3.0%","3.0%",,,"2.0%","2.0%","7.0%","8.0%","8.0%",,,"9.0%"

18,1/27/2017,1/30/2017,"122.14","120.93","($1.21)",,"$0.22","$6.10","$7.05","$7.38",,,"$8.20","$9.61","$10.42","$10.72","$11.53",,,"$12.15","$12.54","$14.59","$14.74","$14.17"
,1/27/2017,1/30/2017,"","","-1.0%",,"0.0%","5.0%","6.0%","6.0%",,,"7.0%","8.0%","9.0%","9.0%","10.0%",,,"10.0%","10.0%","12.0%","12.0%","12.0%"

19,2/23/2017,2/24/2017,"137.38","135.91","($1.47)",,,,"$1.23","$1.17","$1.98","$4.09","$2.87",,,"$3.46","$3.15","$3.04","$2.83","$3.34",,,"$2.94","$3.39","$3.50","$4.81"
,2/23/2017,2/24/2017,"","","-1.0%",,,,"1.0%","1.0%","1.0%","3.0%","2.0%",,,"3.0%","2.0%","2.0%","2.0%","2.0%",,,"2.0%","2.0%","3.0%","4.0%"

