,,,,,,,Difference X Days Later
,,,,,,,1 days,2 days,3 days,4 days,5 days,6 days,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days
Rank, Start Date, End Date, Start Value, End Value, Difference in $, ,
,,,,,Difference in %,
1,1/31/2017,2/2/2017,"121.15","127.98","$6.83",,"$0.33",,,"$1.15","$2.56","$3.37","$3.67","$4.48",,,"$5.10","$5.49","$7.54","$7.69","$7.12",,,,"$8.25","$8.45"
,1/31/2017,2/2/2017,"","","6.0%",,"0.0%",,,"1.0%","2.0%","3.0%","3.0%","4.0%",,,"4.0%","4.0%","6.0%","6.0%","6.0%",,,,"6.0%","7.0%"

2,7/31/2017,8/2/2017,"149.9","159.28","$9.38",,"($2.23)","($3.21)",,,"($2.22)","($0.68)","($0.02)","$0.62","($2.68)",,,"$0.04","$1.38","$2.66","$1.24","($1.42)",,,"($1.78)","($1.05)"
,7/31/2017,8/2/2017,"","","6.0%",,"-1.0%","-2.0%",,,"-1.0%","0.0%","0.0%","0.0%","-2.0%",,,"0.0%","1.0%","2.0%","1.0%","-1.0%",,,"-1.0%","-1.0%"

3,1/30/2017,2/1/2017,"120.93","127.03","$6.10",,"$0.95","$1.28",,,"$2.10","$3.51","$4.32","$4.62","$5.43",,,"$6.05","$6.44","$8.49","$8.64","$8.07",,,,"$9.20"
,1/30/2017,2/1/2017,"","","5.0%",,"1.0%","1.0%",,,"2.0%","3.0%","3.0%","4.0%","4.0%",,,"5.0%","5.0%","7.0%","7.0%","6.0%",,,,"7.0%"

4,5/5/2017,5/9/2017,"146.76","153.87","$7.11",,"($0.24)","($1.42)","$0.83",,,"$2.14","$2.07","($0.27)","($2.60)","($0.49)",,,"$0.13","$1.03","($0.03)","($0.14)","$0.13"
,5/5/2017,5/9/2017,"","","5.0%",,"0.0%","-1.0%","1.0%",,,"1.0%","1.0%","0.0%","-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%"

5,8/1/2017,8/3/2017,"149.1","157.05","$7.95",,"($0.98)",,,"$0.01","$1.55","$2.21","$2.85","($0.45)",,,"$2.27","$3.61","$4.89","$3.47","$0.81",,,"$0.45","$1.18","$2.02"
,8/1/2017,8/3/2017,"","","5.0%",,"-1.0%",,,"0.0%","1.0%","1.0%","2.0%","0.0%",,,"1.0%","2.0%","3.0%","2.0%","1.0%",,,"0.0%","1.0%","1.0%"

6,10/27/2017,10/31/2017,"159.29","167.9","$8.61",,"$1.97","($1.30)","$6.10",,,"$4.47","$6.01","$6.76","$7.21","$7.21",,,"$5.60","$5.14","$2.07","$3.28","$3.14",,,"$2.39"
,10/27/2017,10/31/2017,"","","5.0%",,"1.0%","-1.0%","4.0%",,,"3.0%","4.0%","4.0%","4.0%","4.0%",,,"3.0%","3.0%","1.0%","2.0%","2.0%",,,"1.0%"

7,10/26/2017,10/30/2017,"157.23","163.89","$6.66",,"$4.01","$5.98","$2.71","$10.11",,,"$8.48","$10.02","$10.77","$11.22","$11.22",,,"$9.61","$9.15","$6.08","$7.29","$7.15"
,10/26/2017,10/30/2017,"","","4.0%",,"2.0%","4.0%","2.0%","6.0%",,,"5.0%","6.0%","7.0%","7.0%","7.0%",,,"6.0%","6.0%","4.0%","4.0%","4.0%"

8,10/30/2017,11/1/2017,"163.89","169.87","$5.98",,"($3.27)","$4.13",,,"$2.50","$4.04","$4.79","$5.24","$5.24",,,"$3.63","$3.17","$0.10","$1.31","$1.17",,,"$0.42","$0.91"
,10/30/2017,11/1/2017,"","","4.0%",,"-2.0%","2.0%",,,"1.0%","2.0%","3.0%","3.0%","3.0%",,,"2.0%","2.0%","0.0%","1.0%","1.0%",,,"0.0%","1.0%"

9,3/27/2017,3/29/2017,"139.39","143.68","$4.29",,"$0.51","$0.04",,,"$0.03","($0.43)","$0.54","$0.61","$0.05",,,"($0.08)","($0.74)","($2.08)","($1.77)",,,,"($2.20)","($2.27)"
,3/27/2017,3/29/2017,"","","3.0%",,"0.0%","0.0%",,,"0.0%","0.0%","0.0%","0.0%","0.0%",,,"0.0%","-1.0%","-1.0%","-1.0%",,,,"-2.0%","-2.0%"

10,5/8/2017,5/10/2017,"149.03","153.63","$4.60",,"($1.18)","$1.07",,,"$2.38","$2.31","($0.03)","($2.36)","($0.25)",,,"$0.37","$1.27","$0.21","$0.10","$0.37",,,,"($0.21)"
,5/8/2017,5/10/2017,"","","3.0%",,"-1.0%","1.0%",,,"2.0%","2.0%","0.0%","-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%",,,,"0.0%"

11,8/11/2017,8/15/2017,"156.6","160.66","$4.06",,"$1.28","($0.14)","($2.80)",,,"($3.16)","($2.43)","($1.59)","($0.23)","($1.01)",,,"($0.52)","($0.56)","$3.14","$2.98","$4.14"
,8/11/2017,8/15/2017,"","","3.0%",,"1.0%","0.0%","-2.0%",,,"-2.0%","-2.0%","-1.0%","0.0%","-1.0%",,,"0.0%","0.0%","2.0%","2.0%","3.0%"

12,9/25/2017,9/27/2017,"149.99","153.8","$3.81",,"$0.09","($0.59)",,,"$0.46","$0.21","($0.17)","$0.38","$1.17",,,"$2.01","$2.26","$2.17","$2.55","$2.93",,,"$4.10","$5.98"
,9/25/2017,9/27/2017,"","","3.0%",,"0.0%","0.0%",,,"0.0%","0.0%","0.0%","0.0%","1.0%",,,"1.0%","1.0%","1.0%","2.0%","2.0%",,,"3.0%","4.0%"

13,11/2/2017,11/6/2017,"166.6","172.37","$5.77",,"$1.54","$2.29","$2.74","$2.74",,,"$1.13","$0.67","($2.40)","($1.19)","($1.33)",,,"($2.08)","($1.59)","$0.99",,"$2.73"
,11/2/2017,11/6/2017,"","","3.0%",,"1.0%","1.0%","2.0%","2.0%",,,"1.0%","0.0%","-1.0%","-1.0%","-1.0%",,,"-1.0%","-1.0%","1.0%",,"2.0%"

14,11/21/2017,11/24/2017,"170.78","175.1","$4.32",,,,"($0.05)","($0.80)","($2.47)","($4.67)","($5.15)",,,"($2.62)","($6.04)","($7.60)","($6.07)","($4.61)",,,"($5.90)","($2.95)","($2.60)","($2.70)"
,11/21/2017,11/24/2017,"","","3.0%",,,,"0.0%","0.0%","-1.0%","-3.0%","-3.0%",,,"-1.0%","-3.0%","-4.0%","-3.0%","-3.0%",,,"-3.0%","-2.0%","-1.0%","-2.0%"

15,1/5/2017,1/9/2017,"115.92","117.95","$2.03",,"$0.82","$0.79","$0.95","$1.16",,,,"$0.39","$2.05","$1.45","$2.50",,,"$2.05","$1.60","$2.47","$3.72","$4.19"
,1/5/2017,1/9/2017,"","","2.0%",,"1.0%","1.0%","1.0%","1.0%",,,,"0.0%","2.0%","1.0%","2.0%",,,"2.0%","1.0%","2.0%","3.0%","4.0%"

16,1/6/2017,1/10/2017,"116.78","118.77","$1.99",,"($0.03)","$0.13","$0.34",,,,"($0.43)","$1.23","$0.63","$1.68",,,"$1.23","$0.78","$1.65","$2.90","$3.37",,,"$2.16"
,1/6/2017,1/10/2017,"","","2.0%",,"0.0%","0.0%","0.0%",,,,"0.0%","1.0%","1.0%","1.0%",,,"1.0%","1.0%","1.0%","2.0%","3.0%",,,"2.0%"

17,1/24/2017,1/26/2017,"119.55","121.67","$2.12",,"$0.47",,,"($0.74)","($0.52)","$5.36","$6.31","$6.64",,,"$7.46","$8.87","$9.68","$9.98","$10.79",,,"$11.41","$11.80","$13.85"
,1/24/2017,1/26/2017,"","","2.0%",,"0.0%",,,"-1.0%","0.0%","4.0%","5.0%","5.0%",,,"6.0%","7.0%","8.0%","8.0%","9.0%",,,"9.0%","10.0%","11.0%"

18,2/3/2017,2/7/2017,"128.31","130.54","$2.23",,"$0.81","$1.11","$1.92",,,"$2.54","$2.93","$4.98","$5.13","$4.56",,,,"$5.69","$5.89","$6.84","$5.37",,,"$6.60"
,2/3/2017,2/7/2017,"","","2.0%",,"1.0%","1.0%","1.0%",,,"2.0%","2.0%","4.0%","4.0%","3.0%",,,,"4.0%","5.0%","5.0%","4.0%",,,"5.0%"

19,2/6/2017,2/8/2017,"129.13","131.35","$2.22",,"$0.30","$1.11",,,"$1.73","$2.12","$4.17","$4.32","$3.75",,,,"$4.88","$5.08","$6.03","$4.56",,,"$5.79","$5.73"
,2/6/2017,2/8/2017,"","","2.0%",,"0.0%","1.0%",,,"1.0%","2.0%","3.0%","3.0%","3.0%",,,,"4.0%","4.0%","5.0%","3.0%",,,"4.0%","4.0%"

